Perry County|Indiana|19454
Pike County|Indiana|12624
Porter County|Indiana|167076
Posey County|Indiana|25540
Pulaski County|Indiana|12967
Putnam County|Indiana|37618
Randolph County|Indiana|25384
Ripley County|Indiana|28497
Rush County|Indiana|16892
St. Joseph County|Indiana|267618
Scott County|Indiana|23712
Shelby County|Indiana|44579
Spencer County|Indiana|20801
Starke County|Indiana|23074
Steuben County|Indiana|34308
Sullivan County|Indiana|21050
Switzerland County|Indiana|10452
Tippecanoe County|Indiana|183074
Tipton County|Indiana|15415
Union County|Indiana|7246
Vanderburgh County|Indiana|182006
Vermillion County|Indiana|15693
Vigo County|Indiana|108175
Wabash County|Indiana|32252
Warren County|Indiana|8352
Warrick County|Indiana|61149
Washington County|Indiana|27878
Wayne County|Indiana|67671
Wells County|Indiana|27862
White County|Indiana|24453
Whitley County|Indiana|33403
Adair County|Iowa|7454
Adams County|Iowa|3875
Allamakee County|Iowa|14038
Appanoose County|Iowa|12661
Audubon County|Iowa|5794
Benton County|Iowa|25680
Black Hawk County|Iowa|132897
Boone County|Iowa|26433
Bremer County|Iowa|24721
Buchanan County|Iowa|21038
Buena Vista County|Iowa|20578
Butler County|Iowa|15006
Calhoun County|Iowa|9866
Carroll County|Iowa|20562
Cass County|Iowa|13448
Cedar County|Iowa|18411
Cerro Gordo County|Iowa|43254
Cherokee County|Iowa|11836
Chickasaw County|Iowa|12264
Clarke County|Iowa|9217
Clay County|Iowa|16515
Clayton County|Iowa|17692
Clinton County|Iowa|48051
Crawford County|Iowa|17228
Dallas County|Iowa|77400
Davis County|Iowa|8781
Decatur County|Iowa|8263
Delaware County|Iowa|17398
Des Moines County|Iowa|40255
Dickinson County|Iowa|16935
Dubuque County|Iowa|96370
Emmet County|Iowa|9990
Fayette County|Iowa|20343
Floyd County|Iowa|16077
Franklin County|Iowa|10436
Fremont County|Iowa|7022
Greene County|Iowa|9200
Grundy County|Iowa|12375
Guthrie County|Iowa|10722
Hamilton County|Iowa|15117
Hancock County|Iowa|11027
Hardin County|Iowa|17311
Harrison County|Iowa|14324
Henry County|Iowa|20217
Howard County|Iowa|9449
Humboldt County|Iowa|9640
Ida County|Iowa|7042
Iowa County|Iowa|16375
Jackson County|Iowa|19482
Jasper County|Iowa|36872
Jefferson County|Iowa|17325
Johnson County|Iowa|142287
Jones County|Iowa|20454
Keokuk County|Iowa|10231
Kossuth County|Iowa|15222
Lee County|Iowa|35286
Linn County|Iowa|217751
Louisa County|Iowa|11161
Lucas County|Iowa|8701
Lyon County|Iowa|11683
Madison County|Iowa|15609
Mahaska County|Iowa|22370
Marion County|Iowa|33365
Marshall County|Iowa|40866
Mills County|Iowa|14831
Mitchell County|Iowa|10779
Monona County|Iowa|8996
Monroe County|Iowa|8001
Montgomery County|Iowa|10421
Muscatine County|Iowa|42903
O'Brien County|Iowa|14056
Osceola County|Iowa|6218
Page County|Iowa|15496
Palo Alto County|Iowa|9099
Plymouth County|Iowa|24874
Pocahontas County|Iowa|7138
Polk County|Iowa|459862
Pottawattamie County|Iowa|93128
Poweshiek County|Iowa|18668
Ringgold County|Iowa|5051
Sac County|Iowa|10035
Scott County|Iowa|171387
Shelby County|Iowa|11948
Sioux County|Iowa|34681
Story County|Iowa|94073
Tama County|Iowa|17451
Taylor County|Iowa|6143
Union County|Iowa|12516
Van Buren County|Iowa|7468
Wapello County|Iowa|35212
Warren County|Iowa|47956
Washington County|Iowa|22070
Wayne County|Iowa|6395
Webster County|Iowa|36955
Winnebago County|Iowa|10559
Winneshiek County|Iowa|20768
Woodbury County|Iowa|102271
Worth County|Iowa|7624
Wright County|Iowa|12840
Allen County|Kansas|12909
Anderson County|Kansas|7883
Atchison County|Kansas|16513
Barber County|Kansas|4897
Barton County|Kansas|27385
Bourbon County|Kansas|14772
Brown County|Kansas|9815
Butler County|Kansas|66227
Chase County|Kansas|2692
Chautauqua County|Kansas|3481
Cherokee County|Kansas|20787
Cheyenne County|Kansas|2693
Clark County|Kansas|2144
Clay County|Kansas|8317
Cloud County|Kansas|9385
Coffey County|Kansas|8433
Comanche County|Kansas|1954
Cowley County|Kansas|35963
Crawford County|Kansas|39290
Decatur County|Kansas|2908
Dickinson County|Kansas|19394
Doniphan County|Kansas|7874
Douglas County|Kansas|116585
Edwards County|Kansas|3030
Elk County|Kansas|2694
Ellis County|Kansas|29013
Ellsworth County|Kansas|6392
Finney County|Kansas|37184
Ford County|Kansas|34795
Franklin County|Kansas|25611
Geary County|Kansas|36713
Gove County|Kansas|2727
Graham County|Kansas|2566
Grant County|Kansas|7816
Gray County|Kansas|6082
Greeley County|Kansas|1301
Greenwood County|Kansas|6328
Hamilton County|Kansas|2603
Harper County|Kansas|5818
Harvey County|Kansas|34820
Haskell County|Kansas|4106
Hodgeman County|Kansas|1916
Jackson County|Kansas|13539
Jefferson County|Kansas|18855
Jewell County|Kansas|3043
Johnson County|Kansas|574272
Kearny County|Kansas|3915
Kingman County|Kansas|7698
Kiowa County|Kansas|2513
Labette County|Kansas|20960
Lane County|Kansas|1687
Leavenworth County|Kansas|78797
Lincoln County|Kansas|3167
