NOVAK,899,35282
COSTA,900,35227
MONTES,901,35196
BOOKER,902,35101
CORDOVA,903,35074
WALLER,904,35001
ARELLANO,905,34999
MADDOX,906,34970
MATA,907,34888
BONILLA,908,34824
STANTON,909,34812
COMPTON,910,34788
KAUFMAN,911,34786
DUDLEY,912,34770
MCPHERSON,913,34763
BELTRAN,914,34736
DICKSON,915,34698
MCCANN,916,34692
VILLEGAS,917,34684
PROCTOR,918,34682
HESTER,919,34675
CANTRELL,920,34674
DAUGHERTY,921,34650
CHERRY,922,34615
BRAY,923,34575
DAVILA,924,34541
ROWLAND,925,34498
LEVINE,926,34472
MADDEN,926,34472
SPENCE,928,34435
GOOD,929,34430
IRWIN,930,34374
WERNER,931,34352
KRAUSE,932,34345
PETTY,933,34278
WHITNEY,934,34251
BAIRD,935,34233
HOOPER,936,34084
POLLARD,937,34079
ZAVALA,938,34068
JARVIS,939,34050
HOLDEN,940,34041
HAAS,941,34032
HENDRIX,941,34032
MCGRATH,943,34031
BIRD,944,33962
LUCERO,945,33922
TERRELL,946,33914
RIGGS,947,33868
JOYCE,948,33843
MERCER,949,33797
ROLLINS,949,33797
GALLOWAY,951,33773
DUKE,952,33745
ODOM,953,33717
ANDERSEN,954,33508
DOWNS,955,33494
HATFIELD,956,33464
BENITEZ,957,33441
ARCHER,958,33411
HUERTA,959,33348
TRAVIS,960,33339
MCNEIL,961,33239
HINTON,962,33209
ZHANG,963,33202
HAYS,964,33194
MAYO,965,33126
FRITZ,966,33068
BRANCH,967,33040
MOONEY,968,32953
EWING,969,32925
RITTER,970,32864
ESPARZA,971,32772
FREY,972,32735
BRAUN,973,32676
GAY,974,32672
RIDDLE,975,32654
HANEY,976,32644
KAISER,977,32567
HOLDER,978,32466
CHANEY,979,32433
MCKNIGHT,980,32386
GAMBLE,981,32377
VANG,982,32333
COOLEY,983,32287
CARNEY,984,32282
COWAN,985,32242
FORBES,986,32228
FERRELL,987,32174
DAVIES,988,32165
BARAJAS,989,32147
SHEA,990,32069
OSBORN,991,32044
BRIGHT,992,32042
CUEVAS,993,32015
BOLTON,994,31995
MURILLO,995,31964
LUTZ,996,31940
DUARTE,997,31896
KIDD,998,31886
KEY,999,31882
COOKE,1000,31860
