"Jay County, Indiana","21,179"
"Jefferson County, Indiana","32,494"
"Jennings County, Indiana","28,000"
"Johnson County, Indiana","147,538"
"Knox County, Indiana","37,938"
"Kosciusko County, Indiana","78,564"
"LaGrange County, Indiana","38,436"
"Lake County, Indiana","490,228"
"LaPorte County, Indiana","111,444"
"Lawrence County, Indiana","45,704"
"Madison County, Indiana","130,069"
"Marion County, Indiana","934,243"
"Marshall County, Indiana","47,107"
"Martin County, Indiana","10,203"
"Miami County, Indiana","35,954"
"Monroe County, Indiana","143,339"
"Montgomery County, Indiana","38,146"
"Morgan County, Indiana","69,693"
"Newton County, Indiana","14,156"
"Noble County, Indiana","47,618"
"Ohio County, Indiana","6,035"
"Orange County, Indiana","19,626"
"Owen County, Indiana","20,969"
"Parke County, Indiana","17,233"
"Perry County, Indiana","19,454"
"Pike County, Indiana","12,624"
"Porter County, Indiana","167,076"
"Posey County, Indiana","25,540"
"Pulaski County, Indiana","12,967"
"Putnam County, Indiana","37,618"
"Randolph County, Indiana","25,384"
"Ripley County, Indiana","28,497"
"Rush County, Indiana","16,892"
"St. Joseph County, Indiana","267,618"
"Scott County, Indiana","23,712"
"Shelby County, Indiana","44,579"
"Spencer County, Indiana","20,801"
"Starke County, Indiana","23,074"
"Steuben County, Indiana","34,308"
"Sullivan County, Indiana","21,050"
"Switzerland County, Indiana","10,452"
"Tippecanoe County, Indiana","183,074"
"Tipton County, Indiana","15,415"
"Union County, Indiana","7,246"
"Vanderburgh County, Indiana","182,006"
"Vermillion County, Indiana","15,693"
"Vigo County, Indiana","108,175"
"Wabash County, Indiana","32,252"
"Warren County, Indiana","8,352"
"Warrick County, Indiana","61,149"
"Washington County, Indiana","27,878"
"Wayne County, Indiana","67,671"
"Wells County, Indiana","27,862"
"White County, Indiana","24,453"
"Whitley County, Indiana","33,403"
"Adair County, Iowa","7,454"
"Adams County, Iowa","3,875"
"Allamakee County, Iowa","14,038"
"Appanoose County, Iowa","12,661"
"Audubon County, Iowa","5,794"
"Benton County, Iowa","25,680"
"Black Hawk County, Iowa","132,897"
"Boone County, Iowa","26,433"
"Bremer County, Iowa","24,721"
"Buchanan County, Iowa","21,038"
"Buena Vista County, Iowa","20,578"
"Butler County, Iowa","15,006"
"Calhoun County, Iowa","9,866"
"Carroll County, Iowa","20,562"
"Cass County, Iowa","13,448"
"Cedar County, Iowa","18,411"
"Cerro Gordo County, Iowa","43,254"
"Cherokee County, Iowa","11,836"
"Chickasaw County, Iowa","12,264"
"Clarke County, Iowa","9,217"
"Clay County, Iowa","16,515"
"Clayton County, Iowa","17,692"
"Clinton County, Iowa","48,051"
"Crawford County, Iowa","17,228"
"Dallas County, Iowa","77,400"
"Davis County, Iowa","8,781"
"Decatur County, Iowa","8,263"
"Delaware County, Iowa","17,398"
"Des Moines County, Iowa","40,255"
"Dickinson County, Iowa","16,935"
"Dubuque County, Iowa","96,370"
"Emmet County, Iowa","9,990"
